[RUN] passes=5 max_updates=120 delay_ms=1100
[RUN] pass 1/5 started...
Loading provinces/districts...
Loading POIs...
POI loaded: 27008
Mismatch candidates: 989
[1] St. Simon Manastırı | Hatay: - -> Defne
[93] Luwi House Coffee | İstanbul: - -> Kadıköy
[94] My Home Antep Hotel | Gaziantep: - -> Şahinbey
[95] Tulumtaş Mağarası | Ankara: - -> Gölbaşı
[96] Yeşilyurt Life - Plaj, Karavan, Çadır, Tiny House | Çanakkale: - -> Ayvacık
[97] AS Antik Sabunhane | Çanakkale: - -> Ayvacık
[98] Goga Beach | İstanbul: - -> Sarıyer
[99] Altındere Alabalık Turistik Tesisleri | Sakarya: - -> Akyazı
[100] Sahil Pide Salonu | Yozgat: - -> Aydıncık
[101] Ağlayan kayalar Tunceli | Tunceli: - -> Pülümür
[102] Yoğurtçu Parkı | İstanbul: - -> Kadıköy
[103] Meydan Yaylası | Niğde: - -> Ulukışla
[104] Tınaztepe Mağarası | Konya: - -> Seydişehir
[105] Divan Brasserie Kalamış | İstanbul: - -> Kadıköy
[106] Marin Alaçatı | İzmir: - -> Çeşme
[107] Sokakağzı Otel & Beach | Çanakkale: - -> Ayvacık
[108] FUNDA HOTEL | Trabzon: - -> Ortahisar
[109] Ala Kadıköy Meyhane | İstanbul: - -> Kadıköy
[110] Mövenpick Hotel Izmir | İzmir: - -> Konak
[111] Barboon Restaurant | Çanakkale: - -> Ayvacık
[112] Eriklitepe Tabiat Parkı | Kocaeli: - -> Gölcük
[113] BEYLİK KEBAP | Sakarya: - -> Adapazarı
[114] Koza Han | Bursa: - -> Osmangazi
[115] Aluçdağı Tabiat Parkı | Ankara: - -> Çamlıdere
[116] Aybasti kent orman | Ordu: - -> Aybastı
[117] Soura | Antalya: - -> Demre
[118] Çayırhan Göl Kenarı Çay Bahçesi | Ankara: - -> Nallıhan
[119] ABU RESTAURANT | Rize: - -> Fındıklı
[120] Osmanlı Köprüsü | Rize: - -> Çamlıhemşin
Done. checked=274, updated=120, dry_run=false, max_updates=120
[RUN] pass 3/5 finished
[RUN] pass 4/5 started...
Loading provinces/districts...
Loading POIs...
POI loaded: 27008
Mismatch candidates: 629
[1] King Iskenderoglu | İstanbul: - -> Sarıyer
[2] Çağdaşkent Sosyal Tesisleri | Kocaeli: - -> Çayırova
[3] İznik Gölü | Bursa: - -> İznik
